Country Name,Country Code,Series Name,Series Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Greece,GRC,Economic Fitness Metric,EF.EFM.PROD.XD,1.3463,1.2377,1.1101,1.0841,0.95703,0.95679,0.95267,0.96996,1.0325,0.91864
Greece,GRC,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.40457,0.41032,0.36066,0.35223,0.31958,0.31927,0.32991,0.29731,0.30609,..
Greenland,GRL,Economic Fitness Metric,EF.EFM.PROD.XD,0.0019356,0.0019481,0.00063022,0.00054138,0.00068841,0.0015838,9.1963E-05,5.2911E-08,4.9828E-10,1.1036E-39
Greenland,GRL,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,Economic Fitness Metric,EF.EFM.PROD.XD,0.53142,0.46006,0.47681,0.4965,0.53302,0.53692,0.54754,0.53061,0.45873,0.28638
Guatemala,GTM,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.075941,0.086525,0.086505,0.086694,0.088187,0.089248,0.088565,0.10197,0.10024,..
Guinea,GIN,Economic Fitness Metric,EF.EFM.PROD.XD,0,2.7014E-225,4.0381E-11,4.0135E-77,2.9808E-17,7.6144E-05,1.037E-05,2.1492E-08,5.9928E-10,9.7309E-41
Guinea,GIN,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.0032923,0.003587,0.003555,0.0031965,0.0033378,0.0041209,0.003853,0.0042661,0.0037032,..
Guinea-Bissau,GNB,Economic Fitness Metric,EF.EFM.PROD.XD,0,0,5.8158E-44,0,2.7516E-231,9.1847E-142,4.2861E-238,2.7604E-186,0,9.3105E-154
Guinea-Bissau,GNB,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.00014219,0.00038839,0.00055382,0.002793,0.00054661,0.0012657,0.00089892,0.00064663,0.00061957,..
Guyana,GUY,Economic Fitness Metric,EF.EFM.PROD.XD,0.01345,0.011106,0.0092191,0.009023,0.0081913,0.0083897,0.0076405,0.0089439,0.010714,0.0053511
Guyana,GUY,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.0065929,0.006373,0.0063746,0.0080528,0.0059414,0.005164,0.0050289,0.011814,0.007623,..
Haiti,HTI,Economic Fitness Metric,EF.EFM.PROD.XD,0.010852,0.009547,0.01436,0.015805,0.013476,0.017343,0.018465,0.019844,0.016983,0.010695
Haiti,HTI,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,..,..,..,..,..,..,..,..,..,..
Honduras,HND,Economic Fitness Metric,EF.EFM.PROD.XD,0.18642,0.22614,0.22548,0.19174,0.20705,0.20379,0.22521,0.20675,0.20961,0.19194
Honduras,HND,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.041622,0.042571,0.040213,0.042327,0.050696,0.051969,0.056348,0.064511,0.058566,..
Hungary,HUN,Economic Fitness Metric,EF.EFM.PROD.XD,1.8589,1.9007,1.9306,1.9537,2.0406,2.092,2.0688,2.1982,2.176,2.0674
Hungary,HUN,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.82213,0.76845,0.74166,0.75312,0.71932,0.76412,0.80427,0.74643,0.81494,..
Iceland,ISL,Economic Fitness Metric,EF.EFM.PROD.XD,0.15396,0.14049,0.13053,0.11107,0.084485,0.078188,0.083891,0.093448,0.10612,0.081889
Iceland,ISL,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.041841,0.049857,0.046913,0.047889,0.038795,0.055442,0.054013,0.052151,0.052338,..
India,IND,Economic Fitness Metric,EF.EFM.PROD.XD,4.3998,4.7465,4.6036,4.7922,5.2846,5.1927,5.3063,5.5066,5.5298,6.0697
India,IND,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,2.5788,2.7564,2.7389,2.8501,3.1233,3.0226,2.8983,2.8796,2.8418,..
Indonesia,IDN,Economic Fitness Metric,EF.EFM.PROD.XD,1.3622,1.3758,1.5326,1.4989,1.5654,1.5662,1.6627,1.7541,1.6834,1.6223
Indonesia,IDN,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.97307,1.144,1.1762,1.234,1.3058,1.2054,1.213,1.2703,1.3142,..
"Iran, Islamic Rep.",IRN,Economic Fitness Metric,EF.EFM.PROD.XD,0.02945,0.032947,0.039068,0.046693,0.067495,0.094157,0.11444,0.12708,0.12258,0.11795
"Iran, Islamic Rep.",IRN,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,..,..,..,..,..,..,..,..,..,..
Iraq,IRQ,Economic Fitness Metric,EF.EFM.PROD.XD,0,0,3.3748E-124,0,0,5.0069E-203,3.2781E-242,9.1179E-231,0,2.8971E-149
Iraq,IRQ,Universal Economic Fitness Metric,EF.EFM.UNIV.XD,0.0082557,0.0095151,0.012444,0.0099498,0.012838,0.012984,0.01513,0.019525,0.023572,..
Ireland,IRL,Economic Fitness Metric,EF.EFM.PROD.XD,1.451,1.24,1.2859,1.1977,1.1304,1.1185,1.0607,0.94931,0.89982,0.81819
